,team_name,year_played,wins,losses,ot_losses,win_percentage,goals_for,goals_against
101,Florida Panthers,1994,20,22,0,0.417,115,127
102,Hartford Whalers,1994,19,24,0,0.396,127,141
103,Los Angeles Kings,1994,16,23,0,0.333,142,174
104,Montreal Canadiens,1994,18,23,0,0.375,125,148
105,New Jersey Devils,1994,22,18,0,0.458,136,121
106,New York Islanders,1994,15,28,0,0.312,126,158
107,New York Rangers,1994,22,23,0,0.458,139,134
108,Ottawa Senators,1994,9,34,0,0.188,117,174
109,Philadelphia Flyers,1994,28,16,0,0.583,150,132
110,Pittsburgh Penguins,1994,29,16,0,0.604,181,158
111,Quebec Nordiques,1994,30,13,0,0.625,185,134
112,San Jose Sharks,1994,19,25,0,0.396,129,161
113,St. Louis Blues,1994,28,15,0,0.583,178,135
114,Tampa Bay Lightning,1994,17,28,0,0.354,120,144
115,Toronto Maple Leafs,1994,21,19,0,0.438,135,146
116,Vancouver Canucks,1994,18,18,0,0.375,153,148
117,Washington Capitals,1994,22,18,0,0.458,136,120
118,Winnipeg Jets,1994,16,25,0,0.333,157,177
119,Mighty Ducks of Anaheim,1995,35,39,0,0.427,234,247
120,Boston Bruins,1995,40,31,0,0.488,282,269
121,Buffalo Sabres,1995,33,42,0,0.402,247,262
122,Calgary Flames,1995,34,37,0,0.415,241,240
123,Chicago Blackhawks,1995,40,28,0,0.488,273,220
124,Colorado Avalanche,1995,47,25,0,0.573,326,240
125,Dallas Stars,1995,26,42,0,0.317,227,280
126,Detroit Red Wings,1995,62,13,0,0.756,325,181
127,Edmonton Oilers,1995,30,44,0,0.366,240,304
128,Florida Panthers,1995,41,31,0,0.5,254,234
129,Hartford Whalers,1995,34,39,0,0.415,237,259
130,Los Angeles Kings,1995,24,40,0,0.293,256,302
131,Montreal Canadiens,1995,40,32,0,0.488,265,248
132,New Jersey Devils,1995,37,33,0,0.451,215,202
133,New York Islanders,1995,22,50,0,0.268,229,315
134,New York Rangers,1995,41,27,0,0.5,272,237
135,Ottawa Senators,1995,18,59,0,0.22,191,291
136,Philadelphia Flyers,1995,45,24,0,0.549,282,208
137,Pittsburgh Penguins,1995,49,29,0,0.598,362,284
138,San Jose Sharks,1995,20,55,0,0.244,252,357
139,St. Louis Blues,1995,32,34,0,0.39,219,248
140,Tampa Bay Lightning,1995,38,32,0,0.463,238,248
141,Toronto Maple Leafs,1995,34,36,0,0.415,247,252
142,Vancouver Canucks,1995,32,35,0,0.39,278,278
143,Washington Capitals,1995,39,32,0,0.476,234,204
144,Winnipeg Jets,1995,36,40,0,0.439,275,291
145,Mighty Ducks of Anaheim,1996,36,33,0,0.439,245,233
146,Boston Bruins,1996,26,47,0,0.317,234,300
147,Buffalo Sabres,1996,40,30,0,0.488,237,208
148,Calgary Flames,1996,32,41,0,0.39,214,239
149,Chicago Blackhawks,1996,34,35,0,0.415,223,210
150,Colorado Avalanche,1996,49,24,0,0.598,277,205
151,Dallas Stars,1996,48,26,0,0.585,252,198
152,Detroit Red Wings,1996,38,26,0,0.463,253,197
153,Edmonton Oilers,1996,36,37,0,0.439,252,247
154,Florida Panthers,1996,35,28,0,0.427,221,201
155,Hartford Whalers,1996,32,39,0,0.39,226,256
156,Los Angeles Kings,1996,28,43,0,0.341,214,268
157,Montreal Canadiens,1996,31,36,0,0.378,249,276
158,New Jersey Devils,1996,45,23,0,0.549,231,182
159,New York Islanders,1996,29,41,0,0.354,240,250
160,New York Rangers,1996,38,34,0,0.463,258,231
161,Ottawa Senators,1996,31,36,0,0.378,226,234
162,Philadelphia Flyers,1996,45,24,0,0.549,274,217
163,Phoenix Coyotes,1996,38,37,0,0.463,240,243
164,Pittsburgh Penguins,1996,38,36,0,0.463,285,280
165,San Jose Sharks,1996,27,47,0,0.329,211,278
166,St. Louis Blues,1996,36,35,0,0.439,236,239
167,Tampa Bay Lightning,1996,32,40,0,0.39,217,247
168,Toronto Maple Leafs,1996,30,44,0,0.366,230,273
169,Vancouver Canucks,1996,35,40,0,0.427,257,273
170,Washington Capitals,1996,33,40,0,0.402,214,231
171,Mighty Ducks of Anaheim,1997,26,43,0,0.317,205,261
172,Boston Bruins,1997,39,30,0,0.476,221,194
173,Buffalo Sabres,1997,36,29,0,0.439,211,187
174,Calgary Flames,1997,26,41,0,0.317,217,252
175,Carolina Hurricanes,1997,33,41,0,0.402,200,219
176,Chicago Blackhawks,1997,30,39,0,0.366,192,199
177,Colorado Avalanche,1997,39,26,0,0.476,231,205
178,Dallas Stars,1997,49,22,0,0.598,242,167
179,Detroit Red Wings,1997,44,23,0,0.537,250,196
180,Edmonton Oilers,1997,35,37,0,0.427,215,224
181,Florida Panthers,1997,24,43,0,0.293,203,256
182,Los Angeles Kings,1997,38,33,0,0.463,227,225
183,Montreal Canadiens,1997,37,32,0,0.451,235,208
184,New Jersey Devils,1997,48,23,0,0.585,225,166
185,New York Islanders,1997,30,41,0,0.366,212,225
186,New York Rangers,1997,25,39,0,0.305,197,231
187,Ottawa Senators,1997,34,33,0,0.415,193,200
188,Philadelphia Flyers,1997,42,29,0,0.512,242,193
189,Phoenix Coyotes,1997,35,35,0,0.427,224,227
190,Pittsburgh Penguins,1997,40,24,0,0.488,228,188
191,San Jose Sharks,1997,34,38,0,0.415,210,216
192,St. Louis Blues,1997,45,29,0,0.549,256,204
193,Tampa Bay Lightning,1997,17,55,0,0.207,151,269
194,Toronto Maple Leafs,1997,30,43,0,0.366,194,237
195,Vancouver Canucks,1997,25,43,0,0.305,224,273
196,Washington Capitals,1997,40,30,0,0.488,219,202
197,Mighty Ducks of Anaheim,1998,35,34,0,0.427,215,206
198,Boston Bruins,1998,39,30,0,0.476,214,181
199,Buffalo Sabres,1998,37,28,0,0.451,207,175
200,Calgary Flames,1998,30,40,0,0.366,211,234
201,Carolina Hurricanes,1998,34,30,0,0.415,210,202
202,Chicago Blackhawks,1998,29,41,0,0.354,202,248
203,Colorado Avalanche,1998,44,28,0,0.537,239,205
204,Dallas Stars,1998,51,19,0,0.622,236,168
205,Detroit Red Wings,1998,43,32,0,0.524,245,202
206,Edmonton Oilers,1998,33,37,0,0.402,230,226
207,Florida Panthers,1998,30,34,0,0.366,210,228
208,Los Angeles Kings,1998,32,45,0,0.39,189,222
209,Montreal Canadiens,1998,32,39,0,0.39,184,209
210,Nashville Predators,1998,28,47,0,0.341,190,261
211,New Jersey Devils,1998,47,24,0,0.573,248,196
212,New York Islanders,1998,24,48,0,0.293,194,244
213,New York Rangers,1998,33,38,0,0.402,217,227
214,Ottawa Senators,1998,44,23,0,0.537,239,179
215,Philadelphia Flyers,1998,37,26,0,0.451,231,196
216,Phoenix Coyotes,1998,39,31,0,0.476,205,197
217,Pittsburgh Penguins,1998,38,30,0,0.463,242,225
218,San Jose Sharks,1998,31,33,0,0.378,196,191
219,St. Louis Blues,1998,37,32,0,0.451,237,209
220,Tampa Bay Lightning,1998,19,54,0,0.232,179,292
221,Toronto Maple Leafs,1998,45,30,0,0.549,268,231
222,Vancouver Canucks,1998,23,47,0,0.28,192,258
223,Washington Capitals,1998,31,45,0,0.378,200,218
224,Mighty Ducks of Anaheim,1999,34,33,3,0.415,217,227
225,Atlanta Thrashers,1999,14,57,4,0.171,170,313
226,Boston Bruins,1999,24,33,6,0.293,210,248
227,Buffalo Sabres,1999,35,32,4,0.427,213,204
228,Calgary Flames,1999,31,36,5,0.378,211,256
229,Carolina Hurricanes,1999,37,35,0,0.451,217,216
230,Chicago Blackhawks,1999,33,37,2,0.402,242,245
231,Colorado Avalanche,1999,42,28,1,0.512,233,201
232,Dallas Stars,1999,43,23,6,0.524,211,184
233,Detroit Red Wings,1999,48,22,2,0.585,278,210
234,Edmonton Oilers,1999,32,26,8,0.39,226,212
235,Florida Panthers,1999,43,27,6,0.524,244,209
236,Los Angeles Kings,1999,39,27,4,0.476,245,228
237,Montreal Canadiens,1999,35,34,4,0.427,196,194
238,Nashville Predators,1999,28,40,7,0.341,199,240
239,New Jersey Devils,1999,45,24,5,0.549,251,203
240,New York Islanders,1999,24,48,1,0.293,194,275
241,New York Rangers,1999,29,38,3,0.354,218,246
242,Ottawa Senators,1999,41,28,2,0.5,244,210
243,Philadelphia Flyers,1999,45,22,3,0.549,237,179
244,Phoenix Coyotes,1999,39,31,4,0.476,232,228
245,Pittsburgh Penguins,1999,37,31,6,0.451,241,236
246,San Jose Sharks,1999,35,30,7,0.427,225,214
247,St. Louis Blues,1999,51,19,1,0.622,248,165
248,Tampa Bay Lightning,1999,19,47,7,0.232,204,310
249,Toronto Maple Leafs,1999,45,27,3,0.549,246,222
250,Vancouver Canucks,1999,30,29,8,0.366,227,237
251,Washington Capitals,1999,44,24,2,0.537,227,194
252,Mighty Ducks of Anaheim,2000,25,41,5,0.305,188,245
253,Atlanta Thrashers,2000,23,45,2,0.28,211,289
254,Boston Bruins,2000,36,30,8,0.439,227,249
255,Buffalo Sabres,2000,46,30,1,0.561,218,184
256,Calgary Flames,2000,27,36,4,0.329,197,236
257,Carolina Hurricanes,2000,38,32,3,0.463,212,225
258,Columbus Blue Jackets,2000,28,39,6,0.341,190,233
259,Chicago Blackhawks,2000,29,40,5,0.354,210,246
260,Colorado Avalanche,2000,52,16,4,0.634,270,192
261,Dallas Stars,2000,48,24,2,0.585,241,187
262,Detroit Red Wings,2000,49,20,4,0.598,253,202
263,Edmonton Oilers,2000,39,28,3,0.476,243,222
264,Florida Panthers,2000,22,38,9,0.268,200,246
265,Los Angeles Kings,2000,38,28,3,0.463,252,228
266,Minnesota Wild,2000,25,39,5,0.305,168,210
267,Montreal Canadiens,2000,28,40,6,0.341,206,232
268,Nashville Predators,2000,34,36,3,0.415,186,200
269,New Jersey Devils,2000,48,19,3,0.585,295,195
270,New York Islanders,2000,21,51,3,0.256,185,268
271,New York Rangers,2000,33,43,1,0.402,250,290
272,Ottawa Senators,2000,48,21,4,0.585,274,205
273,Philadelphia Flyers,2000,43,25,3,0.524,240,207
274,Phoenix Coyotes,2000,35,27,3,0.427,214,212
275,Pittsburgh Penguins,2000,42,28,3,0.512,281,256
276,San Jose Sharks,2000,40,27,3,0.488,217,192
277,St. Louis Blues,2000,43,22,5,0.524,249,195
278,Tampa Bay Lightning,2000,24,47,5,0.293,201,280
279,Toronto Maple Leafs,2000,37,29,5,0.451,232,207
280,Vancouver Canucks,2000,36,28,7,0.439,239,238
281,Washington Capitals,2000,41,27,4,0.5,233,211
282,Mighty Ducks of Anaheim,2001,29,42,3,0.354,175,198
283,Atlanta Thrashers,2001,19,47,5,0.232,187,288
284,Boston Bruins,2001,43,24,9,0.524,236,201
285,Buffalo Sabres,2001,35,35,1,0.427,213,200
286,Calgary Flames,2001,32,35,3,0.39,201,220
287,Carolina Hurricanes,2001,35,26,5,0.427,217,217
288,Columbus Blue Jackets,2001,22,47,5,0.268,164,255
289,Chicago Blackhawks,2001,41,27,1,0.5,216,207
290,Colorado Avalanche,2001,45,28,1,0.549,212,169
291,Dallas Stars,2001,36,28,5,0.439,215,213
292,Detroit Red Wings,2001,51,17,4,0.622,251,187
293,Edmonton Oilers,2001,38,28,4,0.463,205,182
294,Florida Panthers,2001,22,44,6,0.268,180,250
295,Los Angeles Kings,2001,40,27,4,0.488,214,190
296,Minnesota Wild,2001,26,35,9,0.317,195,238
297,Montreal Canadiens,2001,36,31,3,0.439,207,209
298,Nashville Predators,2001,28,41,0,0.341,196,230
299,New Jersey Devils,2001,41,28,4,0.5,205,187
300,New York Islanders,2001,42,28,4,0.512,239,220
301,New York Rangers,2001,36,38,4,0.439,227,258
302,Ottawa Senators,2001,39,27,7,0.476,243,208
303,Philadelphia Flyers,2001,42,27,3,0.512,234,192
304,Phoenix Coyotes,2001,40,27,6,0.488,228,210
305,Pittsburgh Penguins,2001,28,41,5,0.341,198,249
306,San Jose Sharks,2001,44,27,3,0.537,248,199
307,St. Louis Blues,2001,43,27,4,0.524,227,188
308,Tampa Bay Lightning,2001,27,40,4,0.329,178,219
309,Toronto Maple Leafs,2001,43,25,4,0.524,249,207
310,Vancouver Canucks,2001,42,30,3,0.512,254,211
311,Washington Capitals,2001,36,33,2,0.439,228,240
312,Mighty Ducks of Anaheim,2002,40,27,6,0.488,203,193
313,Atlanta Thrashers,2002,31,39,5,0.378,226,284
314,Boston Bruins,2002,36,31,4,0.439,245,237
315,Buffalo Sabres,2002,27,37,8,0.329,190,219
316,Calgary Flames,2002,29,36,4,0.354,186,228
317,Carolina Hurricanes,2002,22,43,6,0.268,171,240
318,Columbus Blue Jackets,2002,29,42,3,0.354,213,263
319,Chicago Blackhawks,2002,30,33,6,0.366,207,226
320,Colorado Avalanche,2002,42,19,8,0.512,251,194
321,Dallas Stars,2002,46,17,4,0.561,245,169
322,Detroit Red Wings,2002,48,20,4,0.585,269,203
323,Edmonton Oilers,2002,36,26,9,0.439,231,230
324,Florida Panthers,2002,24,36,9,0.293,176,237
325,Los Angeles Kings,2002,33,37,6,0.402,203,221
326,Minnesota Wild,2002,42,29,1,0.512,198,178
327,Montreal Canadiens,2002,30,35,9,0.366,206,234
328,Nashville Predators,2002,27,35,7,0.329,183,206
329,New Jersey Devils,2002,46,20,6,0.561,216,166
330,New York Islanders,2002,35,34,2,0.427,224,231
331,New York Rangers,2002,32,36,4,0.39,210,231
332,Ottawa Senators,2002,52,21,1,0.634,263,182
333,Philadelphia Flyers,2002,45,20,4,0.549,211,166
334,Phoenix Coyotes,2002,31,35,5,0.378,204,230
335,Pittsburgh Penguins,2002,27,44,5,0.329,189,255
336,San Jose Sharks,2002,28,37,8,0.341,214,239
337,St. Louis Blues,2002,41,24,6,0.5,253,222
338,Tampa Bay Lightning,2002,36,25,5,0.439,219,210
339,Toronto Maple Leafs,2002,44,28,3,0.537,236,208
340,Vancouver Canucks,2002,45,23,1,0.549,264,208
341,Washington Capitals,2002,39,29,6,0.476,224,220
342,Mighty Ducks of Anaheim,2003,29,35,8,0.354,184,213
343,Atlanta Thrashers,2003,33,37,4,0.402,214,243
344,Boston Bruins,2003,41,19,7,0.5,209,188
345,Buffalo Sabres,2003,37,34,4,0.451,220,221
346,Calgary Flames,2003,42,30,3,0.512,200,176
347,Carolina Hurricanes,2003,28,34,6,0.341,172,209
348,Columbus Blue Jackets,2003,25,45,4,0.305,177,238
349,Chicago Blackhawks,2003,20,43,8,0.244,188,259
350,Colorado Avalanche,2003,40,22,7,0.488,236,198
351,Dallas Stars,2003,41,26,2,0.5,194,175
352,Detroit Red Wings,2003,48,21,2,0.585,255,189
353,Edmonton Oilers,2003,36,29,5,0.439,221,208
354,Florida Panthers,2003,28,35,4,0.341,188,221
355,Los Angeles Kings,2003,28,29,9,0.341,205,217
356,Minnesota Wild,2003,30,29,3,0.366,188,183
357,Montreal Canadiens,2003,41,30,4,0.5,208,192
358,Nashville Predators,2003,38,29,4,0.463,216,217
359,New Jersey Devils,2003,43,25,2,0.524,213,164
360,New York Islanders,2003,38,29,4,0.463,237,210
361,New York Rangers,2003,27,40,8,0.329,206,250
362,Ottawa Senators,2003,43,23,6,0.524,262,189
363,Philadelphia Flyers,2003,40,21,6,0.488,229,186
364,Phoenix Coyotes,2003,22,36,6,0.268,188,245
365,Pittsburgh Penguins,2003,23,47,4,0.28,190,303
366,San Jose Sharks,2003,43,21,6,0.524,219,183
367,St. Louis Blues,2003,39,30,2,0.476,191,198
368,Tampa Bay Lightning,2003,46,22,6,0.561,245,192
369,Toronto Maple Leafs,2003,45,24,3,0.549,242,204
370,Vancouver Canucks,2003,43,24,5,0.524,235,194
371,Washington Capitals,2003,23,46,3,0.28,186,253
372,Mighty Ducks of Anaheim,2005,43,27,12,0.524,254,229
373,Atlanta Thrashers,2005,41,33,8,0.5,281,275
374,Boston Bruins,2005,29,37,16,0.354,230,266
375,Buffalo Sabres,2005,52,24,6,0.634,281,239
376,Calgary Flames,2005,46,25,11,0.561,218,200
377,Carolina Hurricanes,2005,52,22,8,0.634,294,260
378,Columbus Blue Jackets,2005,35,43,4,0.427,223,279
379,Chicago Blackhawks,2005,26,43,13,0.317,211,285
380,Colorado Avalanche,2005,43,30,9,0.524,283,257
381,Dallas Stars,2005,53,23,6,0.646,265,218
382,Detroit Red Wings,2005,58,16,8,0.707,305,209
383,Edmonton Oilers,2005,41,28,13,0.5,256,251
384,Florida Panthers,2005,37,34,11,0.451,240,257
385,Los Angeles Kings,2005,42,35,5,0.512,249,270
386,Minnesota Wild,2005,38,36,8,0.463,231,215
387,Montreal Canadiens,2005,42,31,9,0.512,243,247
388,Nashville Predators,2005,49,25,8,0.598,259,227
389,New Jersey Devils,2005,46,27,9,0.561,242,229
390,New York Islanders,2005,36,40,6,0.439,230,278
391,New York Rangers,2005,44,26,12,0.537,257,215
392,Ottawa Senators,2005,52,21,9,0.634,314,211
393,Philadelphia Flyers,2005,45,26,11,0.549,267,259
394,Phoenix Coyotes,2005,38,39,5,0.463,246,271
395,Pittsburgh Penguins,2005,22,46,14,0.268,244,316
396,San Jose Sharks,2005,44,27,11,0.537,266,242
397,St. Louis Blues,2005,21,46,15,0.256,197,292
398,Tampa Bay Lightning,2005,43,33,6,0.524,252,260
399,Toronto Maple Leafs,2005,41,33,8,0.5,257,270
400,Vancouver Canucks,2005,42,32,8,0.512,256,255
401,Washington Capitals,2005,29,41,12,0.354,237,306
402,Anaheim Ducks,2006,48,20,14,0.585,258,208
403,Atlanta Thrashers,2006,43,28,11,0.524,246,245
404,Boston Bruins,2006,35,41,6,0.427,219,289
405,Buffalo Sabres,2006,53,22,7,0.646,308,242
406,Calgary Flames,2006,43,29,10,0.524,258,226
407,Carolina Hurricanes,2006,40,34,8,0.488,241,253
408,Columbus Blue Jackets,2006,33,42,7,0.402,201,249
409,Chicago Blackhawks,2006,31,42,9,0.378,201,258
410,Colorado Avalanche,2006,44,31,7,0.537,272,251
411,Dallas Stars,2006,50,25,7,0.61,226,197
412,Detroit Red Wings,2006,50,19,13,0.61,254,199
413,Edmonton Oilers,2006,32,43,7,0.39,195,248
414,Florida Panthers,2006,35,31,16,0.427,247,257
415,Los Angeles Kings,2006,27,41,14,0.329,227,283
416,Minnesota Wild,2006,48,26,8,0.585,235,191
417,Montreal Canadiens,2006,42,34,6,0.512,245,256
418,Nashville Predators,2006,51,23,8,0.622,272,212
419,New Jersey Devils,2006,49,24,9,0.598,216,201
420,New York Islanders,2006,40,30,12,0.488,248,240
421,New York Rangers,2006,42,30,10,0.512,242,216
422,Ottawa Senators,2006,48,25,9,0.585,288,222
423,Philadelphia Flyers,2006,22,48,12,0.268,214,303
424,Phoenix Coyotes,2006,31,46,5,0.378,216,284
425,Pittsburgh Penguins,2006,47,24,11,0.573,277,246
426,San Jose Sharks,2006,51,26,5,0.622,258,199
427,St. Louis Blues,2006,34,35,13,0.415,214,254
428,Tampa Bay Lightning,2006,44,33,5,0.537,253,261
429,Toronto Maple Leafs,2006,40,31,11,0.488,258,269
430,Vancouver Canucks,2006,49,26,7,0.598,222,201
431,Washington Capitals,2006,28,40,14,0.341,235,286
432,Anaheim Ducks,2007,47,27,8,0.573,205,191
433,Atlanta Thrashers,2007,34,40,8,0.415,216,272
434,Boston Bruins,2007,41,29,12,0.5,212,222
435,Buffalo Sabres,2007,39,31,12,0.476,255,242
436,Calgary Flames,2007,42,30,10,0.512,229,227
437,Carolina Hurricanes,2007,43,33,6,0.524,252,249
438,Columbus Blue Jackets,2007,34,36,12,0.415,193,218
439,Chicago Blackhawks,2007,40,34,8,0.488,239,235
440,Colorado Avalanche,2007,44,31,7,0.537,231,219
441,Dallas Stars,2007,45,30,7,0.549,242,207
442,Detroit Red Wings,2007,54,21,7,0.659,257,184
443,Edmonton Oilers,2007,41,35,6,0.5,235,251
444,Florida Panthers,2007,38,35,9,0.463,216,226
445,Los Angeles Kings,2007,32,43,7,0.39,231,266
446,Minnesota Wild,2007,44,28,10,0.537,223,218
447,Montreal Canadiens,2007,47,25,10,0.573,262,222
448,Nashville Predators,2007,41,32,9,0.5,230,229
449,New Jersey Devils,2007,46,29,7,0.561,206,197
450,New York Islanders,2007,35,38,9,0.427,194,243
451,New York Rangers,2007,42,27,13,0.512,213,199
452,Ottawa Senators,2007,43,31,8,0.524,261,247
453,Philadelphia Flyers,2007,42,29,11,0.512,248,233
454,Phoenix Coyotes,2007,38,37,7,0.463,214,231
455,Pittsburgh Penguins,2007,47,27,8,0.573,247,216
456,San Jose Sharks,2007,49,23,10,0.598,222,193
457,St. Louis Blues,2007,33,36,13,0.402,205,237
458,Tampa Bay Lightning,2007,31,42,9,0.378,223,267
459,Toronto Maple Leafs,2007,36,35,11,0.439,231,260
460,Vancouver Canucks,2007,39,33,10,0.476,213,215
461,Washington Capitals,2007,43,31,8,0.524,242,231
462,Anaheim Ducks,2008,42,33,7,0.512,245,238
463,Atlanta Thrashers,2008,35,41,6,0.427,257,280
464,Boston Bruins,2008,53,19,10,0.646,274,196
465,Buffalo Sabres,2008,41,32,9,0.5,250,234
466,Calgary Flames,2008,46,30,6,0.561,254,248
467,Carolina Hurricanes,2008,45,30,7,0.549,239,226
468,Columbus Blue Jackets,2008,41,31,10,0.5,226,230
469,Chicago Blackhawks,2008,46,24,12,0.561,264,216
470,Colorado Avalanche,2008,32,45,5,0.39,199,257
471,Dallas Stars,2008,36,35,11,0.439,230,257
472,Detroit Red Wings,2008,51,21,10,0.622,295,244
473,Edmonton Oilers,2008,38,35,9,0.463,234,248
474,Florida Panthers,2008,41,30,11,0.5,234,231
475,Los Angeles Kings,2008,34,37,11,0.415,207,234
476,Minnesota Wild,2008,40,33,9,0.488,219,200
477,Montreal Canadiens,2008,41,30,11,0.5,249,247
478,Nashville Predators,2008,40,34,8,0.488,213,233
479,New Jersey Devils,2008,51,27,4,0.622,244,209
480,New York Islanders,2008,26,47,9,0.317,201,279
481,New York Rangers,2008,43,30,9,0.524,210,218
482,Ottawa Senators,2008,36,35,11,0.439,217,237
483,Philadelphia Flyers,2008,44,27,11,0.537,264,238
